Material,Material description,Bundle,Khu Vực,Status,Color,Material Description,Size Type,IsValid,Case
C0000001378,CP_09_S DO,CP_09_S,TE,C5,DO,,TE_PK_Size,No,WHEN 'C0000001378' THEN 'CP_09_S'
C0000001801,EC_11_S DUONG,EC_11_S,TE,C5,DUONG,,,No,WHEN 'C0000001801' THEN 'EC_11_S'
C0000001802,EC_11_S LA,EC_11_S,TE,C5,LA,,,No,WHEN 'C0000001802' THEN 'EC_11_S'
C0000001803,EC_11_S CAM,EC_11_S,TE,C5,CAM,,,No,WHEN 'C0000001803' THEN 'EC_11_S'
C0000001804,EC_11_S TIM,EC_11_S,TE,C5,TIM,,,No,WHEN 'C0000001804' THEN 'EC_11_S'
C0000001805,EC_11_M DUONG,EC_11_M,TE,C5,DUONG,,,No,WHEN 'C0000001805' THEN 'EC_11_M'
C0000001806,EC_11_M LA,EC_11_M,TE,C5,LA,,,No,WHEN 'C0000001806' THEN 'EC_11_M'
C0000001807,EC_11_M CAM,EC_11_M,TE,C5,CAM,,,No,WHEN 'C0000001807' THEN 'EC_11_M'
C0000001808,EC_11_M TIM,EC_11_M,TE,C5,TIM,,,No,WHEN 'C0000001808' THEN 'EC_11_M'
C0000002084,PC_11 TIM,PC_11,IM,C5,TIM,,,No,WHEN 'C0000002084' THEN 'PC_11'
C0000002085,PC_11 DO,PC_11,IM,C5,DO,,,No,WHEN 'C0000002085' THEN 'PC_11'
C0000002086,PC_11 LA,PC_11,IM,C5,LA,,,No,WHEN 'C0000002086' THEN 'PC_11'
C0000002087,PC_11 DUONG,PC_11,IM,C5,DUONG,,,No,WHEN 'C0000002087' THEN 'PC_11'
C0000002088,PC_11_S TIM,PC_11_S,TE,C5,TIM,Premier Clean 11 FHS White/Violet TB,,No,WHEN 'C0000002088' THEN 'PC_11_S'
C0000002089,PC_11_S LA,PC_11_S,TE,C5,LA,,,No,WHEN 'C0000002089' THEN 'PC_11_S'
C0000002090,PC_11_S DO,PC_11_S,TE,C5,DO,Premier Clean 11 FHS White/Red TB,,No,WHEN 'C0000002090' THEN 'PC_11_S'
C0000002091,PC_11_S DUONG,PC_11_S,TE,C5,DUONG,Premier Clean 11 FHS White/Blue TB,,No,WHEN 'C0000002091' THEN 'PC_11_S'
C0000002092,PC_11_M TIM,PC_11_M,TE,C5,TIM,,,No,WHEN 'C0000002092' THEN 'PC_11_M'
C0000002093,PC_11_M DO,PC_11_M,TE,C5,DO,,,No,WHEN 'C0000002093' THEN 'PC_11_M'
C0000002094,PC_11_M LA,PC_11_M,TE,C5,LA,,,No,WHEN 'C0000002094' THEN 'PC_11_M'
C0000002095,PC_11_M DUONG,PC_11_M,TE,C5,DUONG,,,No,WHEN 'C0000002095' THEN 'PC_11_M'
C0000002121,CCDC_11 DUONG,CCDC_11,IM,C5,DUONG,,,No,WHEN 'C0000002121' THEN 'CCDC_11'
C0000002122,CCDC_11 LA,CCDC_11,IM,C5,LA,,,No,WHEN 'C0000002122' THEN 'CCDC_11'
C0000002124,CCDC_11 VANG,CCDC_11,IM,C5,VANG,Classic Deep Clean 11 FH Yellow Handle,,No,WHEN 'C0000002124' THEN 'CCDC_11'
